tank_id,image,isPrem,name,avg_earnings,profit_per_minute,avg_repair_cost,avg_profit,avg_ammo_cost,earnings_per_minute,nation,cost_per_shot,battles,tier,class,avg_consumables_cost
58625,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R111_ISU130.png,True,ISU-130,84064,9808,4985,57202,13955,14414,USSR,1591,118,8,TD,7920
51313,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/czech-Cz15_Skoda_T-45_Prem.png,True,Škoda T 45,88672,9628,6019,56017,25773,15242,Czech,1600,113,7,HT,862
43585,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F106_Panhard_EBR_75_Mle1954.png,True,EBR 75 FL 10,77136,12287,4915,52486,8329,18057,France,766,9444,8,LT,11403
52049,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB111_Charlemagne.png,True,Charlemagne,102234,9330,6926,50934,32461,18727,UK,3508,750,8,HT,11912
56065,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R115_IS-3_auto_S.png,True,Peregrine,82644,10127,6586,50570,19590,16550,USSR,2063,2999,8,HT,5898
51105,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It18_Progetto_C45_mod_71.png,True,Bisonte C45,83709,9803,6120,49566,20150,16556,Italy,2141,9407,8,HT,7872
65329,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch43_WZ_122_2.png,True,122 TM,80766,8698,7062,49031,15681,14328,China,1975,10708,8,MT,8991
53345,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/japan-J31_Type_5_KaRi.png,True,Ka-Ri,83826,8232,6268,48325,20976,14281,Japan,2571,21438,8,TD,8256
61985,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A124_T54E2.png,True,Renegade,87153,9586,7195,48234,23489,17321,USA,2315,15721,8,HT,8234
27905,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM_DR.png,True,Forest Spirit,76809,7987,5659,47735,15912,12851,USSR,2080,15281,8,TD,7501
51057,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/czech-Cz14_Skoda_T-56.png,True,Škoda T 56,89524,9344,6464,47395,26192,17650,Czech,3269,41806,8,HT,9472
60417,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R115_IS-3_auto.png,True,IS-3A,81262,9370,6659,46643,20459,16325,USSR,2259,3671,8,HT,7499
52097,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S22_Strv_S1.png,True,Strv S1,72402,7505,4815,46467,14738,11693,Sweden,1717,15126,8,TD,6380
51233,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A132_T77.png,True,T77,83534,8875,7816,45774,20663,16196,USA,2300,1967,8,HT,9280
44289,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R165_Object_703_II.png,True,703 II (122),81722,9073,7301,45415,21061,16327,USSR,2391,17018,8,HT,7943
45057,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM.png,True,SU-130PM,74016,7377,5615,45135,16051,12097,USSR,2098,38597,8,TD,7214
54289,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G51_Lowe.png,True,Löwe,77651,8347,6793,43858,21315,14779,Germany,2311,14681,8,HT,5683
49665,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R134_Object_252U.png,True,Obj. 252U,77847,8931,6565,43518,19702,15977,USSR,2589,3354,8,HT,8060
51361,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It13_Progetto_M35_mod_46.png,True,Progetto 46,81354,8675,7328,43351,22359,16280,Italy,1863,67438,8,MT,8314
58881,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R113_Object_730.png,True,IS-5,78754,9206,6926,43214,21336,16777,USSR,2555,964,8,HT,7278
62529,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F19_Lorraine40t.png,True,Lorr. 40 t,71790,8453,6954,43014,16230,14108,France,1721,10938,8,MT,5590
63281,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch39_WZ120_1G_FT.png,True,WZ-120-1 FT,71060,7405,5745,42852,15723,12280,China,1852,5802,8,TD,6739
62481,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Skorpian.png,True,Skorpion,72663,7428,5949,42736,16784,12630,Germany,2229,19244,8,TD,7192
48641,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R134_Object_252K.png,True,Defender,76726,8454,6521,42539,21185,15249,USSR,2658,3663,8,HT,6479
2849,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A13_T34_hvy.png,True,T34,72006,8530,6509,42511,16053,14448,USA,2226,2636,8,HT,6931
50193,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Rheinmetall_Skorpian.png,True,Skorpion G,71614,7308,5970,42369,16507,12353,Germany,2185,32134,8,TD,6766
60449,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A122_TS-5.png,True,TS-5,74601,7892,8054,42265,18392,13931,USA,2005,7050,8,TD,5889
52129,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It13_Progetto_M35_mod_46_LE.png,True,Mars,81438,8192,7265,42144,23086,15830,Italy,1860,2757,8,MT,8941
46865,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G143_E75_TS.png,True,E 75 TS,81092,8723,7629,42018,23354,16835,Germany,2455,5968,8,HT,8090
913,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl08_50TP_prototyp.png,True,50TP pr.,73384,8423,7206,41990,17478,14720,Poland,2256,6593,8,HT,6709
62273,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F84_Somua_SM.png,True,Somua SM,75753,8317,7762,41703,19658,15108,France,1890,5502,8,HT,6629
47361,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R146_STG_Tday.png,True,Guard,64228,7743,7119,41675,11618,11933,USSR,1497,2370,8,MT,3814
61761,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F89_Canon_dassaut_de_105.png,True,AMX Cda 105,68625,7023,5063,41616,14675,11582,France,1734,2820,8,TD,7270
34337,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A146_TL_7_120.png,True,TL-7,91246,6180,7571,41402,33191,13621,USA,3091,347,9,TD,9080
48401,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G112_KanonenJagdPanzer_105.png,True,KanJPz 105,70912,6902,5171,41383,15533,11827,Germany,1798,4671,8,TD,8824
64049,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch14_T34_3.png,True,T-34-3,73282,8077,7401,41340,17510,14319,China,2134,6265,8,MT,7030
52513,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A45_M6A2E1.png,True,M6A2E1,79785,8475,6875,41211,25202,16408,USA,2584,1546,8,HT,6495
43297,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A158_T832.png,True,T-832,86939,7784,7497,41112,30377,16462,USA,2759,23710,8,HT,7952
45841,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/germany-G154_Kpz_07_RH.png,True,Kpz 07 RH,74829,8348,7250,40820,18392,15304,Germany,1313,15038,8,MT,8366
47377,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G140_HWK_30.png,True,HWK 30,64287,9245,6499,40658,7686,14618,Germany,1070,6365,8,LT,9442
43553,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/usa-A141_M_IV_Y.png,True,M-IV-Y,80124,7746,6561,40280,26118,15409,USA,2616,1422,8,HT,7164
33313,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A156_T54_2022.png,True,T54 Heavy,88966,7302,14266,40236,24849,16147,USA,2653,1632,9,HT,9614
59425,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A13_T34_hvy_BF.png,True,T34 B,75006,8036,6396,40203,19726,14993,USA,2564,655,8,HT,8680
53121,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S26_Lansen_C.png,True,Lansen C,75098,7466,6912,40084,20339,13987,Sweden,2097,6229,8,MT,7761
60225,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F116_Bat_Chatillon_Bourrasque.png,True,Bourrasque,84727,7821,6486,40031,25588,16554,France,2960,99913,8,MT,12620
34081,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A149_AMBT.png,True,AMBT,81054,7679,6754,39915,25232,15593,USA,2855,13137,8,MT,9152
56081,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G141_VK7501K.png,True,VK 75.01 K,74325,7731,7226,39852,19320,14419,Germany,2825,2584,8,HT,7925
53249,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R54_KV-5.png,True,KV-5,72214,9832,9667,39844,16067,17820,USSR,1687,3981,8,HT,6636
817,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch03_WZ-111.png,True,WZ-111,81747,7907,8222,39523,24386,16356,China,2740,515,8,HT,9614
