cost_per_shot,image,tank_id,avg_consumables_cost,avg_profit,avg_ammo_cost,tier,nation,earnings_per_minute,class,isPrem,avg_earnings,avg_repair_cost,name,battles,profit_per_minute
1618,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R111_ISU130.png,58625,7542,59913,14155,8,USSR,14721,TD,True,86598,4987,ISU-130,106,10184
1613,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/czech-Cz15_Skoda_T-45_Prem.png,51313,665,55578,25856,7,Czech,15255,HT,True,88126,6025,Škoda T 45,112,9621
770,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F106_Panhard_EBR_75_Mle1954.png,43585,11578,52118,8386,8,France,18029,LT,True,76992,4909,EBR 75 FL 10,8905,12204
3536,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB111_Charlemagne.png,52049,11610,50884,32916,8,UK,18754,HT,True,102353,6941,Charlemagne,702,9323
2047,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R115_IS-3_auto_S.png,56065,5997,50730,19510,8,USSR,16563,HT,True,82829,6590,Peregrine,2840,10144
2106,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It18_Progetto_C45_mod_71.png,51105,7778,50175,19804,8,Italy,16644,HT,True,83878,6118,Bisonte C45,8857,9956
1959,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch43_WZ_122_2.png,65329,8771,49312,15503,8,China,14317,MT,True,80650,7063,122 TM,9947,8754
2572,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/japan-J31_Type_5_KaRi.png,53345,8173,48454,20987,8,Japan,14315,TD,True,83881,6267,Ka-Ri,20456,8269
2311,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A124_T54E2.png,61985,8209,48451,23462,8,USA,17397,HT,True,87324,7200,Renegade,14972,9652
2078,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM_DR.png,27905,7497,48029,15943,8,USSR,12906,TD,True,77131,5660,Forest Spirit,14510,8037
3266,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/czech-Cz14_Skoda_T-56.png,51057,9440,47397,26161,8,Czech,17689,HT,True,89466,6466,Škoda T 56,39601,9371
2279,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R115_IS-3_auto.png,60417,7312,46825,20661,8,USSR,16388,HT,True,81459,6658,IS-3A,3435,9420
1716,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S22_Strv_S1.png,52097,6351,46669,14773,8,Sweden,11739,TD,True,72607,4812,Strv S1,14131,7545
2302,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A132_T77.png,51233,9304,45367,20518,8,USA,16262,HT,True,83031,7841,T77,1819,8885
2103,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM.png,45057,7112,45312,16120,8,USSR,12132,TD,True,74162,5616,SU-130PM,35758,7412
2392,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R165_Object_703_II.png,44289,7961,45019,21107,8,USSR,16293,HT,True,81389,7302,703 II (122),16043,9012
2302,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G51_Lowe.png,54289,5519,43984,21130,8,Germany,14790,HT,True,77429,6795,Löwe,13669,8402
2596,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R134_Object_252U.png,49665,7822,43590,19809,8,USSR,16014,HT,True,77773,6551,Obj. 252U,3101,8975
1860,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It13_Progetto_M35_mod_46.png,51361,8332,43428,22326,8,Italy,16320,MT,True,81417,7330,Progetto 46,64028,8705
2555,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R113_Object_730.png,58881,7300,43166,21368,8,USSR,16797,HT,True,78771,6935,IS-5,944,9205
2255,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Skorpian.png,62481,7193,42968,17006,8,Germany,12741,TD,True,73137,5967,Skorpion,16841,7486
1720,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F19_Lorraine40t.png,62529,5548,42841,16237,8,France,14083,MT,True,71575,6948,Lorr. 40 t,10117,8429
2658,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R134_Object_252K.png,48641,6604,42768,21296,8,USSR,15343,HT,True,77184,6514,Defender,3418,8502
1858,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch39_WZ120_1G_FT.png,63281,6844,42748,15785,8,China,12314,TD,True,71127,5749,WZ-120-1 FT,5527,7401
2003,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A122_TS-5.png,60449,5813,42662,18460,8,USA,14011,TD,True,74992,8056,TS-5,6673,7970
2181,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Rheinmetall_Skorpian.png,50193,6680,42594,16516,8,Germany,12377,TD,True,71758,5966,Skorpion G,29956,7347
1867,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It13_Progetto_M35_mod_46_LE.png,52129,9111,42309,23242,8,Italy,15907,MT,True,81919,7257,Mars,2696,8215
1740,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F89_Canon_dassaut_de_105.png,61761,7311,42052,14684,8,France,11722,TD,True,69133,5086,AMX Cda 105,2651,7130
2475,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G143_E75_TS.png,46865,7963,42006,23582,8,Germany,16909,HT,True,81188,7635,E 75 TS,5548,8749
1487,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R146_STG_Tday.png,47361,3745,41913,11472,8,USSR,11983,MT,True,64250,7118,Guard,2184,7817
2230,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl08_50TP_prototyp.png,913,6745,41810,17200,8,Poland,14697,HT,True,72958,7202,50TP pr.,6239,8422
1883,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F84_Somua_SM.png,62273,6750,41623,19662,8,France,15126,HT,True,75795,7759,Somua SM,5202,8306
2272,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A13_T34_hvy.png,2849,7188,41441,16367,8,USA,14397,HT,True,71504,6507,T34,2464,8344
1803,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G112_KanonenJagdPanzer_105.png,48401,8920,41381,15619,8,Germany,11848,TD,True,71084,5163,KanJPz 105,4448,6897
3069,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A146_TL_7_120.png,34337,9349,41380,32774,9,USA,13577,TD,True,91154,7649,TL-7,323,6163
2116,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch14_T34_3.png,64049,6865,41352,17310,8,China,14292,MT,True,72938,7409,T-34-3,5927,8103
2756,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A158_T832.png,43297,7931,41007,30376,8,USA,16431,HT,True,86810,7495,T-832,22369,7761
