{'tank_id': 56065, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R115_IS-3_auto_S.png', 'battles': 1974, 'avg_earnings': 83062, 'avg_profit': 51376, 'avg_ammo_cost': 18613, 'cost_per_shot': 1968, 'avg_repair_cost': 6600, 'avg_consumables_cost': 6472, 'earnings_per_minute': 17053, 'profit_per_minute': 10548, 'class': 'HT', 'isPrem': True, 'name': 'Peregrine'}
{'tank_id': 43585, 'tier': 8, 'nation': 'France', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F106_Panhard_EBR_75_Mle1954.png', 'battles': 5234, 'avg_earnings': 76287, 'avg_profit': 50983, 'avg_ammo_cost': 7969, 'cost_per_shot': 726, 'avg_repair_cost': 4918, 'avg_consumables_cost': 12415, 'earnings_per_minute': 18087, 'profit_per_minute': 12087, 'class': 'LT', 'isPrem': True, 'name': 'EBR 75 FL 10'}
{'tank_id': 52049, 'tier': 8, 'nation': 'UK', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB111_Charlemagne.png', 'battles': 491, 'avg_earnings': 104514, 'avg_profit': 50303, 'avg_ammo_cost': 34903, 'cost_per_shot': 3688, 'avg_repair_cost': 6928, 'avg_consumables_cost': 12377, 'earnings_per_minute': 19672, 'profit_per_minute': 9468, 'class': 'HT', 'isPrem': True, 'name': 'Charlemagne'}
{'tank_id': 65329, 'tier': 8, 'nation': 'China', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch43_WZ_122_2.png', 'battles': 5898, 'avg_earnings': 81494, 'avg_profit': 48801, 'avg_ammo_cost': 16160, 'cost_per_shot': 2009, 'avg_repair_cost': 7101, 'avg_consumables_cost': 9430, 'earnings_per_minute': 14597, 'profit_per_minute': 8741, 'class': 'MT', 'isPrem': True, 'name': '122 TM'}
{'tank_id': 51105, 'tier': 8, 'nation': 'Italy', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It18_Progetto_C45_mod_71.png', 'battles': 5184, 'avg_earnings': 82093, 'avg_profit': 48613, 'avg_ammo_cost': 19811, 'cost_per_shot': 2107, 'avg_repair_cost': 6145, 'avg_consumables_cost': 7523, 'earnings_per_minute': 16522, 'profit_per_minute': 9784, 'class': 'HT', 'isPrem': True, 'name': 'Bisonte C45'}
{'tank_id': 53345, 'tier': 8, 'nation': 'Japan', 'image': 'https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/japan-J31_Type_5_KaRi.png', 'battles': 14486, 'avg_earnings': 84328, 'avg_profit': 48607, 'avg_ammo_cost': 21528, 'cost_per_shot': 2622, 'avg_repair_cost': 6300, 'avg_consumables_cost': 7892, 'earnings_per_minute': 14402, 'profit_per_minute': 8301, 'class': 'TD', 'isPrem': True, 'name': 'Ka-Ri'}
{'tank_id': 27905, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM_DR.png', 'battles': 10018, 'avg_earnings': 77190, 'avg_profit': 48540, 'avg_ammo_cost': 15831, 'cost_per_shot': 2063, 'avg_repair_cost': 5656, 'avg_consumables_cost': 7162, 'earnings_per_minute': 12948, 'profit_per_minute': 8142, 'class': 'TD', 'isPrem': True, 'name': 'Forest Spirit'}
{'tank_id': 61985, 'tier': 8, 'nation': 'USA', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A124_T54E2.png', 'battles': 10478, 'avg_earnings': 87880, 'avg_profit': 48424, 'avg_ammo_cost': 23502, 'cost_per_shot': 2286, 'avg_repair_cost': 7224, 'avg_consumables_cost': 8729, 'earnings_per_minute': 17598, 'profit_per_minute': 9697, 'class': 'HT', 'isPrem': True, 'name': 'Renegade'}
{'tank_id': 59425, 'tier': 8, 'nation': 'USA', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A13_T34_hvy_BF.png', 'battles': 388, 'avg_earnings': 78141, 'avg_profit': 46839, 'avg_ammo_cost': 17632, 'cost_per_shot': 2251, 'avg_repair_cost': 6308, 'avg_consumables_cost': 7362, 'earnings_per_minute': 15263, 'profit_per_minute': 9149, 'class': 'HT', 'isPrem': True, 'name': 'T34 B'}
{'tank_id': 52097, 'tier': 8, 'nation': 'Sweden', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S22_Strv_S1.png', 'battles': 8312, 'avg_earnings': 72063, 'avg_profit': 46651, 'avg_ammo_cost': 14003, 'cost_per_shot': 1634, 'avg_repair_cost': 4778, 'avg_consumables_cost': 6628, 'earnings_per_minute': 11614, 'profit_per_minute': 7518, 'class': 'TD', 'isPrem': True, 'name': 'Strv S1'}
{'tank_id': 51057, 'tier': 8, 'nation': 'Czech', 'image': 'https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/czech-Cz14_Skoda_T-56.png', 'battles': 27385, 'avg_earnings': 88854, 'avg_profit': 46426, 'avg_ammo_cost': 26353, 'cost_per_shot': 3266, 'avg_repair_cost': 6459, 'avg_consumables_cost': 9614, 'earnings_per_minute': 17648, 'profit_per_minute': 9221, 'class': 'HT', 'isPrem': True, 'name': 'Škoda T 56'}
{'tank_id': 45057, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM.png', 'battles': 21691, 'avg_earnings': 75215, 'avg_profit': 46040, 'avg_ammo_cost': 16159, 'cost_per_shot': 2083, 'avg_repair_cost': 5619, 'avg_consumables_cost': 7397, 'earnings_per_minute': 12318, 'profit_per_minute': 7540, 'class': 'TD', 'isPrem': True, 'name': 'SU-130PM'}
{'tank_id': 60417, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R115_IS-3_auto.png', 'battles': 2196, 'avg_earnings': 80598, 'avg_profit': 46027, 'avg_ammo_cost': 20132, 'cost_per_shot': 2242, 'avg_repair_cost': 6643, 'avg_consumables_cost': 7794, 'earnings_per_minute': 16646, 'profit_per_minute': 9506, 'class': 'HT', 'isPrem': True, 'name': 'IS-3A'}
