damage_received,survival,damage_received_from_invisible,life_time,nation,player_winrate,winrate,image,isPrem,class,difference,tier,damage_blocked,battles,shots_fired,spots,tank_id,direct_hits,sniper_damage,spotting_assist,base_defense_points,wn8,frags,penetrations,base_capture_points,distance_traveled,hit_rate,name,tracking_assist,potential_damage_received,pen_rate,damage
1085,27.44,353,297,France,51.46,53.36,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F116_Bat_Chatillon_Bourrasque.png,True,MT,1.9,8,3,110271,7.59,1.82,60225,5.63,377,548,0.5,1656,0.98,4.3,0.48,1812,74.13,Bourrasque,52,1052,76.34,1391
928,30.85,401,341,Germany,49.05,48.96,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Rheinmetall_Skorpian.png,True,TD,-0.09,8,5,82120,6.22,0.39,50193,3.95,716,165,0.37,1256,0.81,2.9,0.71,1248,63.42,Skorpion G,43,886,73.59,1264
782,23.45,250,269,France,50.28,50.58,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F97_ELC_EVEN_90.png,True,LT,0.3,8,0,80964,5.13,3.14,61505,3.73,99,1064,0.45,1086,0.55,2.91,0.97,1741,72.56,ELC EVEN 90,23,761,78.22,593
842,34.9,345,358,USSR,49.74,49.72,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R159_SU_130PM.png,True,TD,-0.02,8,1,77995,6.45,0.38,45057,4.13,746,183,0.44,1364,0.91,3.04,0.84,1195,64.04,SU-130PM,44,784,73.7,1386
1507,28.56,457,316,France,49.38,50.34,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F114_Projet_4_1.png,True,MT,0.96,9,137,72969,7.67,1.27,60481,5.8,460,453,0.45,1290,0.91,4.33,0.62,1679,75.65,Char Futur 4,62,1599,74.59,1539
1587,29.31,559,333,Germany,49.97,48.82,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G89_Leopard1.png,False,MT,-1.15,10,98,67353,9.7,1.02,14609,7.03,929,456,0.47,1596,0.93,5.17,0.43,1730,72.46,Leopard 1,89,1618,73.54,2024
1233,26.33,420,300,Italy,50.37,51.05,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It13_Progetto_M35_mod_46.png,True,MT,0.68,8,60,64235,10.79,1.27,51361,8,440,377,0.5,1596,0.96,6.05,0.53,1601,74.12,Progetto 46,65,1301,75.68,1367
1683,28.98,521,320,Sweden,49.54,49.51,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S28_UDES_15_16.png,False,MT,-0.03,10,561,58975,9.3,1.13,5505,6.79,465,528,0.36,1464,0.87,4.57,0.64,1616,72.98,UDES 15/16,82,2125,67.4,1857
684,23.97,255,293,USA,48.95,48.44,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A130_Super_Hellcat.png,True,TD,-0.51,7,13,58362,6.75,0.75,62497,4.23,272,207,0.4,756,0.53,2.83,0.91,1238,62.65,Super Hellcat,33,691,66.9,630
1360,32.57,353,315,China,51.24,54.26,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch47_BZ_176.png,True,HT,3.02,8,922,57794,5.34,1.17,60209,3.93,203,316,0.3,1607,0.98,2.29,1.03,1257,73.59,BZ-176,47,2226,58.35,1603
260,43.38,98,393,USA,49.17,49.28,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A88_M53_55.png,False,SPG,0.11,9,1,55829,7.52,0.02,16161,2.31,1049,15,0.69,980,0.54,0.15,0.22,592,30.68,M53/M55,37,289,6.42,1100
